127: Start DateObject[{2023, 4, 20, 16, 32, 27.}, Instant, Gregorian, 8.]
127: Finished DateObject[{2023, 4, 20, 16, 32, 34.}, Instant, Gregorian, 8.]
95: Start DateObject[{2023, 4, 20, 16, 32, 35.}, Instant, Gregorian, 8.]
111: Start DateObject[{2023, 4, 20, 16, 32, 35.}, Instant, Gregorian, 8.]
63: Start DateObject[{2023, 4, 20, 16, 32, 36.}, Instant, Gregorian, 8.]
63: Finished DateObject[{2023, 4, 20, 16, 32, 41.}, Instant, Gregorian, 8.]
95: Finished DateObject[{2023, 4, 20, 16, 32, 43.}, Instant, Gregorian, 8.]
111: Finished DateObject[{2023, 4, 20, 16, 32, 43.}, Instant, Gregorian, 8.]
94: Start DateObject[{2023, 4, 20, 16, 32, 45.}, Instant, Gregorian, 8.]
87: Start DateObject[{2023, 4, 20, 16, 32, 45.}, Instant, Gregorian, 8.]
91: Start DateObject[{2023, 4, 20, 16, 32, 45.}, Instant, Gregorian, 8.]
93: Start DateObject[{2023, 4, 20, 16, 32, 47.}, Instant, Gregorian, 8.]
47: Start DateObject[{2023, 4, 20, 16, 32, 47.}, Instant, Gregorian, 8.]
79: Start DateObject[{2023, 4, 20, 16, 32, 47.}, Instant, Gregorian, 8.]
109: Start DateObject[{2023, 4, 20, 16, 32, 47.}, Instant, Gregorian, 8.]
94: Finished DateObject[{2023, 4, 20, 16, 32, 50.}, Instant, Gregorian, 8.]
91: Finished DateObject[{2023, 4, 20, 16, 32, 53.}, Instant, Gregorian, 8.]
47: Finished DateObject[{2023, 4, 20, 16, 32, 54.}, Instant, Gregorian, 8.]
93: Finished DateObject[{2023, 4, 20, 16, 32, 54.}, Instant, Gregorian, 8.]
79: Finished DateObject[{2023, 4, 20, 16, 32, 54.}, Instant, Gregorian, 8.]
75: Start DateObject[{2023, 4, 20, 16, 32, 55.}, Instant, Gregorian, 8.]
109: Finished DateObject[{2023, 4, 20, 16, 32, 56.}, Instant, Gregorian, 8.]
87: Finished DateObject[{2023, 4, 20, 16, 32, 56.}, Instant, Gregorian, 8.]
77: Start DateObject[{2023, 4, 20, 16, 32, 58.}, Instant, Gregorian, 8.]
85: Start DateObject[{2023, 4, 20, 16, 32, 58.}, Instant, Gregorian, 8.]
83: Start DateObject[{2023, 4, 20, 16, 32, 58.}, Instant, Gregorian, 8.]
45: Start DateObject[{2023, 4, 20, 16, 32, 59.}, Instant, Gregorian, 8.]
75: Finished DateObject[{2023, 4, 20, 16, 32, 59.}, Instant, Gregorian, 8.]
77: Finished DateObject[{2023, 4, 20, 16, 33, 2.}, Instant, Gregorian, 8.]
83: Finished DateObject[{2023, 4, 20, 16, 33, 3.}, Instant, Gregorian, 8.]
73: Start DateObject[{2023, 4, 20, 16, 33, 4.}, Instant, Gregorian, 8.]
85: Finished DateObject[{2023, 4, 20, 16, 33, 5.}, Instant, Gregorian, 8.]
45: Finished DateObject[{2023, 4, 20, 16, 33, 6.}, Instant, Gregorian, 8.]
82: Start DateObject[{2023, 4, 20, 16, 33, 6.}, Instant, Gregorian, 8.]
73: Finished DateObject[{2023, 4, 20, 16, 33, 10.}, Instant, Gregorian, 8.]
82: Finished DateObject[{2023, 4, 20, 16, 33, 11.}, Instant, Gregorian, 8.]
