2023.2.6 10:28:7	{0, 18, Infinity}
2023.2.6 10:28:10	{0, 17, Infinity}
2023.2.6 10:30:36	{0, 10, 0}
2023.2.6 10:31:32	{0, 18, 2}
2023.2.6 10:31:34	{0, 11, 0}
2023.2.6 10:36:43	{0, 18, 2}
2023.2.6 10:36:46	{0, 11, 0}
2023.2.6 10:39:5	{0, 12, 0}
2023.2.6 10:39:8	{0, 11, 0}
2023.2.6 10:39:16	{0, 10, 0}
2023.2.6 10:39:22	{0, 8, 0}
2023.2.6 10:39:55	{0, 5, 0}
2023.2.6 10:40:9	{0, 8, 3}
2023.2.6 10:40:13	{0, 2, 0}
2023.2.6 10:41:5	{0, 5, 4}
2023.2.6 10:41:13	{1, 0, 1}
2023.2.6 10:41:54	{1, 0, 1}
2023.2.6 10:42:12	{1, 1, 4}
2023.2.6 10:42:15	{0, 0, 3}
2023.2.6 10:42:35	{0, 0, 5}
2023.2.6 10:43:40	{0, 8, 22}
2023.2.6 10:43:43	{0, 7, 21}
2023.2.6 10:43:58	{0, 5, 20}
2023.2.6 10:44:8	{0, 3, 19}
2023.2.6 10:44:45	{0, 5, 28}
2023.2.6 10:44:48	{0, 3, 26}
2023.2.6 10:45:16	{0, 7, 36}
2023.2.6 10:45:28	{0, 5, 35}
2023.2.6 10:45:43	{0, 2, 34}
2023.2.6 10:46:16	{0, 0, 35}
2023.2.6 10:46:52	{0, 4, 45}
2023.2.6 10:47:1	{0, 6, 50}
2023.2.6 10:47:44	{0, 10, 59}
2023.2.6 10:48:28	{0, 10, 61}
2023.2.6 10:48:59	{0, 10, 63}
2023.2.6 10:49:2	{0, 10, 65}
2023.2.6 10:49:5	{6, 8, 63}
2023.2.6 10:49:8	{0, 2, 57}
2023.2.6 10:49:36	{0, 2, 60}
2023.2.6 10:50:59	{0, 11, 80}
2023.2.6 10:52:13	{0, 11, 83}
2023.2.6 10:53:18	{0, 14, 92}
2023.2.6 10:53:60	{0, 13, 93}
2023.2.6 10:54:13	{0, 13, 94}
2023.2.6 10:54:52	{0, 15, 99}
