127: Start DateObject[{2022, 9, 27, 17, 6, 12.}, Instant, Gregorian, 8.]
127: Finished DateObject[{2022, 9, 27, 17, 6, 17.}, Instant, Gregorian, 8.]
125: Start DateObject[{2022, 9, 27, 17, 6, 19.}, Instant, Gregorian, 8.]
126: Start DateObject[{2022, 9, 27, 17, 6, 19.}, Instant, Gregorian, 8.]
63: Start DateObject[{2022, 9, 27, 17, 6, 19.}, Instant, Gregorian, 8.]
63: Finished DateObject[{2022, 9, 27, 17, 6, 21.}, Instant, Gregorian, 8.]
125: Finished DateObject[{2022, 9, 27, 17, 6, 23.}, Instant, Gregorian, 8.]
126: Finished DateObject[{2022, 9, 27, 17, 6, 24.}, Instant, Gregorian, 8.]
109: Start DateObject[{2022, 9, 27, 17, 6, 25.}, Instant, Gregorian, 8.]
61: Start DateObject[{2022, 9, 27, 17, 6, 25.}, Instant, Gregorian, 8.]
117: Start DateObject[{2022, 9, 27, 17, 6, 27.}, Instant, Gregorian, 8.]
118: Start DateObject[{2022, 9, 27, 17, 6, 27.}, Instant, Gregorian, 8.]
115: Start DateObject[{2022, 9, 27, 17, 6, 27.}, Instant, Gregorian, 8.]
122: Start DateObject[{2022, 9, 27, 17, 6, 27.}, Instant, Gregorian, 8.]
124: Start DateObject[{2022, 9, 27, 17, 6, 27.}, Instant, Gregorian, 8.]
61: Finished DateObject[{2022, 9, 27, 17, 6, 28.}, Instant, Gregorian, 8.]
115: Finished DateObject[{2022, 9, 27, 17, 6, 30.}, Instant, Gregorian, 8.]
117: Finished DateObject[{2022, 9, 27, 17, 6, 30.}, Instant, Gregorian, 8.]
118: Finished DateObject[{2022, 9, 27, 17, 6, 31.}, Instant, Gregorian, 8.]
109: Finished DateObject[{2022, 9, 27, 17, 6, 31.}, Instant, Gregorian, 8.]
45: Start DateObject[{2022, 9, 27, 17, 6, 32.}, Instant, Gregorian, 8.]
124: Finished DateObject[{2022, 9, 27, 17, 6, 36.}, Instant, Gregorian, 8.]
122: Finished DateObject[{2022, 9, 27, 17, 6, 37.}, Instant, Gregorian, 8.]
116: Start DateObject[{2022, 9, 27, 17, 6, 37.}, Instant, Gregorian, 8.]
108: Start DateObject[{2022, 9, 27, 17, 6, 37.}, Instant, Gregorian, 8.]
114: Start DateObject[{2022, 9, 27, 17, 6, 40.}, Instant, Gregorian, 8.]
106: Start DateObject[{2022, 9, 27, 17, 6, 40.}, Instant, Gregorian, 8.]
45: Finished DateObject[{2022, 9, 27, 17, 6, 41.}, Instant, Gregorian, 8.]
116: Finished DateObject[{2022, 9, 27, 17, 6, 41.}, Instant, Gregorian, 8.]
108: Finished DateObject[{2022, 9, 27, 17, 6, 43.}, Instant, Gregorian, 8.]
114: Finished DateObject[{2022, 9, 27, 17, 6, 44.}, Instant, Gregorian, 8.]
100: Start DateObject[{2022, 9, 27, 17, 6, 45.}, Instant, Gregorian, 8.]
106: Finished DateObject[{2022, 9, 27, 17, 6, 46.}, Instant, Gregorian, 8.]
82: Start DateObject[{2022, 9, 27, 17, 6, 46.}, Instant, Gregorian, 8.]
100: Finished DateObject[{2022, 9, 27, 17, 6, 55.}, Instant, Gregorian, 8.]
82: Finished DateObject[{2022, 9, 27, 17, 6, 59.}, Instant, Gregorian, 8.]
